,Y
35570,6200.0
38403,5100.0
26772,3000.0
41140,1930.0
10696,2100.0
35535,4460.0
20740,7000.0
30527,3400.0
13364,1600.0
7952,1230.0
23489,4800.0
4525,3400.0
11382,5490.0
40621,3150.0
2166,5100.0
11054,3460.0
16230,3800.0
7007,3300.0
25075,2000.0
30910,2000.0
34274,4100.0
38065,6000.0
16469,4700.0
41179,11000.0
35898,4400.0
1117,2500.0
17498,4000.0
31616,2030.0
37616,2800.0
9967,4000.0
41242,2790.0
30386,5000.0
29304,4200.0
11484,3200.0
33913,4000.0
36884,3800.0
6567,17500.0
40736,1690.0
39896,1590.0
26846,4300.0
19304,3500.0
2097,4900.0
39613,1150.0
30953,8800.0
39902,1530.0
10092,2090.0
28839,4300.0
40036,2800.0
35398,9500.0
15922,8400.0
3611,8000.0
32139,3500.0
31358,3390.0
13150,6300.0
14856,6380.0
39468,1860.0
14740,3600.0
10212,4400.0
24946,1430.0
6662,3500.0
33301,3500.0
30118,4300.0
31859,13000.0
26330,4200.0
28292,1330.0
1930,4400.0
17596,13000.0
27616,3000.0
10130,1500.0
7885,9500.0
9398,1260.0
18435,5200.0
28663,4200.0
36123,3000.0
20324,4000.0
14227,2290.0
33824,9000.0
30785,3000.0
38149,5500.0
18389,3500.0
34728,4600.0
2725,4500.0
4699,13000.0
20783,3200.0
7162,950.0
22988,4390.0
3914,5000.0
24815,3100.0
28063,7500.0
23730,4500.0
10762,3260.0
28358,5800.0
33183,3100.0
32967,3000.0
2523,14000.0
6586,8500.0
22940,21000.0
19079,3200.0
23268,3200.0
4186,2000.0
246,22700.0
7745,2600.0
34202,7600.0
16958,14000.0
9057,4300.0
35369,5000.0
31687,3200.0
5062,2900.0
38979,3130.0
30031,4200.0
8261,2000.0
13619,3900.0
23886,3600.0
37089,3500.0
33700,10000.0
34264,4600.0
35303,1290.0
4170,2900.0
20576,7200.0
32951,3530.0
39262,2900.0
22075,4000.0
23347,4600.0
38735,4550.0
17704,10000.0
6801,4800.0
32658,4990.0
13147,3500.0
32391,2200.0
893,17500.0
2043,3900.0
39665,2070.0
8241,5000.0
17586,5600.0
7177,1800.0
6532,4350.0
7347,5000.0
20369,6600.0
1285,6200.0
1619,7200.0
37473,5000.0
13272,1900.0
14798,2490.0
14819,2760.0
15027,3000.0
25282,2600.0
37541,7200.0
28439,2600.0
32309,2630.0
37727,3200.0
21514,4400.0
5541,1800.0
22823,4800.0
25675,2600.0
20193,2800.0
4100,5400.0
1212,30000.0
38136,3800.0
29343,2000.0
24953,3000.0
16142,2590.0
31997,30000.0
35909,6500.0
18978,9200.0
35245,1860.0
18087,6400.0
22894,2360.0
22426,6000.0
29634,4300.0
31862,8000.0
36469,3600.0
10997,2400.0
3045,18000.0
22916,4300.0
5921,4300.0
28747,4000.0
21466,8000.0
39771,3300.0
26826,1060.0
38484,20000.0
8683,1700.0
38061,4000.0
25961,1860.0
21272,5800.0
40752,1500.0
18386,10000.0
37258,3930.0
29422,4100.0
14414,5400.0
4712,15000.0
23956,3400.0
22860,5700.0
38720,3800.0
21390,1900.0
36912,6000.0
36704,4260.0
35027,4300.0
11850,3600.0
36140,7200.0
33931,1690.0
1662,4100.0
12686,2230.0
7939,4200.0
3829,4800.0
17225,4500.0
4671,13000.0
1813,2400.0
9675,4500.0
1419,3000.0
21435,4200.0
33599,5000.0
16314,4090.0
6004,7200.0
18353,1800.0
6765,6000.0
3139,6300.0
9100,3900.0
13177,1960.0
15463,3800.0
8497,4100.0
26584,15000.0
36305,5160.0
25825,4900.0
11331,1590.0
16434,3700.0
19919,11800.0
1464,4300.0
2401,14500.0
39620,2330.0
21287,3500.0
31196,3550.0
16078,4200.0
4222,10300.0
40056,3600.0
27106,2600.0
4475,4200.0
37775,4100.0
6108,2200.0
18617,3890.0
24583,3200.0
15005,6300.0
19372,3300.0
11209,3000.0
39491,5500.0
25769,1660.0
16882,4000.0
35651,4500.0
5217,5800.0
26895,4100.0
25237,8000.0
19986,3730.0
10293,1700.0
30304,3400.0
10918,3000.0
29087,2690.0
8488,3990.0
32500,3600.0
35940,6000.0
12773,1830.0
16823,3000.0
33558,2900.0
5176,3300.0
14852,18000.0
17364,4000.0
22358,3500.0
29137,3300.0
13310,4800.0
7134,2800.0
8418,5200.0
29344,6200.0
27717,5000.0
29608,6000.0
7596,3000.0
7503,2430.0
24392,4200.0
17665,4200.0
18508,2700.0
27470,2900.0
11419,4900.0
40166,2690.0
37332,2600.0
6206,9800.0
24348,3700.0
18116,1790.0
7461,2400.0
6151,6000.0
14148,4700.0
33379,4200.0
37611,5000.0
18028,2400.0
35160,4300.0
30670,4000.0
18556,5000.0
21634,4200.0
39805,2890.0
16396,9300.0
2567,3500.0
18519,3570.0
33540,3000.0
25644,2900.0
30369,4200.0
37818,4150.0
35413,1500.0
3120,4200.0
11433,5300.0
38364,3000.0
21897,3000.0
15148,5500.0
3137,4200.0
9856,1500.0
17598,22000.0
28515,2100.0
22730,1360.0
16762,4730.0
2163,3000.0
34128,50000.0
13075,6500.0
31670,3250.0
16196,1890.0
38849,2600.0
7098,4300.0
5967,28000.0
30174,4900.0
1244,2600.0
2213,11000.0
32163,3600.0
34121,3100.0
23945,3600.0
2339,4800.0
22532,3600.0
34317,4100.0
19744,1960.0
36758,5500.0
19548,3300.0
4120,1700.0
11194,6000.0
33332,1960.0
24938,4600.0
20197,4200.0
41017,1190.0
5580,5000.0
18329,4500.0
7794,7000.0
9586,4100.0
19078,1490.0
34600,3000.0
21137,2800.0
35985,4000.0
16602,3600.0
40411,1230.0
21785,7500.0
22339,15525.0
10206,11000.0
31770,4700.0
36195,5300.0
2628,6600.0
34118,3900.0
34992,3900.0
20613,7500.0
23239,8500.0
5036,3800.0
26789,3900.0
12333,5250.0
10117,1590.0
34833,4800.0
37064,6000.0
2535,4000.0
38101,10000.0
17018,1790.0
4200,4200.0
25564,1990.0
14753,3500.0
26314,6400.0
4400,3800.0
16781,2290.0
11861,1390.0
5028,2400.0
37710,4000.0
35021,1100.0
32887,4100.0
14431,1830.0
40706,990.0
30746,10000.0
17236,3700.0
1152,15500.0
30749,4600.0
24256,3000.0
23228,1260.0
8211,2900.0
21969,2660.0
33380,3600.0
40815,1590.0
3647,5350.0
22012,4200.0
37732,7500.0
39838,2250.0
12348,3600.0
14803,1790.0
38581,8500.0
39311,3500.0
1740,4000.0
3387,5300.0
1174,2930.0
24067,3600.0
29324,5100.0
3566,5000.0
24993,3000.0
11677,4300.0
35690,2260.0
32503,3500.0
26131,790.0
6687,11000.0
7351,2500.0
12052,4600.0
10971,3300.0
3246,9500.0
5224,1020.0
5175,8000.0
13546,4400.0
30052,5500.0
24638,5600.0
23589,5000.0
23287,2400.0
41264,2790.0
23495,4300.0
18432,2390.0
963,33000.0
12828,3600.0
22054,1890.0
11581,5200.0
24680,2150.0
31845,6800.0
22233,5500.0
11427,9000.0
39994,2760.0
5982,1350.0
4686,4800.0
36842,1690.0
31407,5000.0
41430,1430.0
11121,5200.0
27965,2400.0
4,2900.0
17887,5300.0
25723,2800.0
880,8000.0
566,4200.0
9549,3290.0
31635,4600.0
35141,5700.0
26110,5400.0
36190,2000.0
40928,1730.0
1376,7500.0
22455,1600.0
2238,4600.0
19515,10500.0
24988,3300.0
26145,1600.0
12303,2500.0
8107,1690.0
20660,7800.0
30287,4833.0
26780,1290.0
330,2000.0
33318,14600.0
25437,4100.0
35574,3200.0
23728,6400.0
31893,3500.0
24219,8000.0
29838,3800.0
31961,5700.0
31994,8300.0
37071,3870.0
31347,1890.0
34229,5000.0
33277,4000.0
1004,7500.0
17559,8500.0
40951,1290.0
2931,4100.0
39811,4360.0
11154,5000.0
35459,3600.0
3656,7800.0
22808,2490.0
11345,1660.0
18059,5000.0
4368,2000.0
39195,2560.0
8519,6000.0
28535,1200.0
7175,2350.0
3649,13500.0
36001,5900.0
9000,1450.0
34218,11000.0
34341,7600.0
7441,1200.0
12621,3100.0
1912,3700.0
34493,3800.0
32060,10000.0
19031,4000.0
2613,4400.0
49,2900.0
36896,2090.0
3324,5600.0
7152,2200.0
1401,3300.0
19278,6600.0
4625,4200.0
14808,4200.0
3090,1000.0
6138,3000.0
40499,5100.0
4374,4500.0
29626,2000.0
18512,2660.0
34782,4000.0
3698,4800.0
8371,3100.0
36226,3300.0
24856,3700.0
33847,7000.0
5277,4000.0
37380,2700.0
28642,5800.0
22278,7300.0
25333,3930.0
32600,5300.0
22891,1290.0
19833,4300.0
29993,3200.0
6512,4600.0
30097,3300.0
33428,8300.0
1442,2670.0
33414,5000.0
510,4600.0
40847,1190.0
35221,9500.0
10567,6500.0
31517,21000.0
13049,7100.0
2714,8500.0
6474,3300.0
12664,3660.0
39922,1590.0
11907,1730.0
2814,8500.0
4950,3600.0
2593,4800.0
24878,8000.0
34672,1800.0
21054,4500.0
12658,2600.0
39498,2990.0
18194,1500.0
1322,1250.0
41412,1890.0
8172,3730.0
15899,3333.0
29988,2300.0
9187,1860.0
10605,1890.0
14775,4300.0
30183,5100.0
19828,4200.0
21057,2600.0
37491,3800.0
37706,4800.0
6476,3800.0
37285,4800.0
29688,1890.0
7964,5500.0
28945,4500.0
41024,3570.0
13988,2490.0
14800,1790.0
16742,7600.0
27239,4800.0
31,3000.0
32379,7300.0
3558,3500.0
33844,4200.0
17086,3400.0
5031,2200.0
5834,1300.0
2688,3100.0
6310,4300.0
14266,2790.0
1998,1800.0
16472,8000.0
23237,1930.0
19506,6800.0
423,9500.0
26614,5430.0
15183,8500.0
11837,3900.0
12643,3800.0
32216,3500.0
41238,1930.0
40895,730.0
19179,3800.0
7254,1600.0
9028,5500.0
23637,5500.0
20301,2500.0
18244,3600.0
24931,1900.0
14214,4200.0
39114,600.0
25382,4500.0
35868,4500.0
1454,990.0
40993,1660.0
5447,5500.0
29371,3200.0
39720,1790.0
22026,3200.0
19749,2290.0
32968,2900.0
17067,13000.0
4637,4350.0
7364,2300.0
15189,4500.0
17100,16000.0
10269,1700.0
24957,4200.0
1551,4000.0
21568,4700.0
30585,4500.0
1667,6900.0
4786,3150.0
14977,2090.0
35748,4300.0
10926,1500.0
11623,3500.0
27856,5500.0
16179,4200.0
20563,4500.0
27129,3500.0
11009,3300.0
16216,5000.0
22276,5300.0
25929,3500.0
23863,7300.0
25758,2800.0
163,6300.0
15539,3000.0
6088,3000.0
26399,4600.0
19151,2490.0
25677,4500.0
30766,1470.0
22439,3600.0
8628,4800.0
34269,50000.0
27891,3700.0
30519,2000.0
7113,5000.0
13888,1690.0
25774,3130.0
31190,2800.0
28863,6500.0
5058,5500.0
6973,27000.0
8850,6100.0
29656,3900.0
39412,3000.0
15628,9000.0
34471,4500.0
27862,4100.0
39090,3100.0
11138,5800.0
18054,4000.0
12718,1390.0
17584,2000.0
13222,1890.0
34971,8800.0
7819,1800.0
27765,3500.0
34101,1630.0
27733,13000.0
41336,2230.0
28548,3200.0
38938,3500.0
35308,3380.0
27643,3300.0
25250,4600.0
7274,2800.0
26900,6200.0
28889,3800.0
35957,4200.0
22370,8200.0
16112,13500.0
38467,6800.0
2786,7000.0
30194,3900.0
21203,4000.0
36636,2230.0
8675,1700.0
28271,3800.0
29799,2900.0
33756,1490.0
38299,16500.0
13254,3200.0
26822,3800.0
35752,11000.0
9440,3200.0
24197,4800.0
6660,1300.0
8941,3400.0
32298,4200.0
13148,7500.0
33039,6000.0
40836,2820.0
3780,10000.0
488,11500.0
382,1100.0
1983,3700.0
120,1667.0
38984,2130.0
40943,2560.0
41210,20000.0
4704,1000.0
38851,6000.0
13901,3800.0
10639,3200.0
23017,30000.0
21328,6200.0
21403,4200.0
7979,7500.0
29121,4000.0
3845,6500.0
9877,4100.0
35460,2700.0
30721,4200.0
33133,8500.0
30679,3200.0
34479,1900.0
30059,5800.0
11529,2400.0
23085,3000.0
219,6800.0
39120,3490.0
20484,4350.0
41221,1770.0
36643,2160.0
30709,1490.0
40031,1190.0
12733,2600.0
28387,9000.0
27229,3000.0
16801,2290.0
36936,4000.0
17140,2500.0
9378,3300.0
25902,5800.0
33531,5600.0
1986,5500.0
17641,3270.0
22478,4100.0
39943,1590.0
23025,4500.0
41325,2130.0
22902,6400.0
25255,4800.0
1110,6500.0
33825,6300.0
41098,4000.0
18125,1760.0
37811,1990.0
6183,2300.0
25342,4100.0
264,1700.0
16428,2400.0
9698,6800.0
6321,4000.0
18729,11000.0
21490,1960.0
27892,990.0
15078,3300.0
27035,2750.0
13947,2390.0
27657,4360.0
9141,4300.0
38443,2690.0
6265,3100.0
39327,1990.0
37325,2000.0
21555,4000.0
9269,2400.0
3261,5400.0
5404,8000.0
4367,3000.0
12200,2890.0
19527,3900.0
6481,3600.0
26469,5800.0
9068,1600.0
12973,8500.0
26185,5000.0
190,3200.0
11686,3800.0
14707,3400.0
951,4600.0
39241,2200.0
3314,8500.0
32634,7200.0
38314,7600.0
27916,3500.0
22269,22000.0
20162,2900.0
3108,1600.0
29180,1790.0
27089,2200.0
22597,3800.0
17820,4500.0
2602,5800.0
41419,5800.0
832,4300.0
9663,4000.0
6119,1550.0
3269,10000.0
6736,5100.0
25251,6800.0
35212,6000.0
39830,1930.0
9887,13500.0
40088,2690.0
5886,6000.0
37026,5060.0
18286,5100.0
34323,2530.0
30465,2190.0
21848,3500.0
5520,3650.0
33130,7850.0
9765,1600.0
39872,1760.0
5900,5000.0
19742,990.0
5640,8800.0
2102,3200.0
24261,4800.0
2955,5500.0
17306,2130.0
5561,11000.0
18173,6000.0
21004,5000.0
38975,1890.0
24811,3400.0
3247,4100.0
23533,4500.0
19638,3800.0
19794,8000.0
33823,3900.0
8173,3800.0
4226,22000.0
18161,2660.0
9653,2590.0
3910,3650.0
30271,3100.0
6177,7000.0
2843,10000.0
33629,33000.0
37147,6900.0
13346,1000.0
17249,5000.0
20326,4350.0
18110,5300.0
28456,3500.0
13573,3300.0
8308,2730.0
2455,4000.0
2684,4500.0
34340,4000.0
39842,1390.0
1914,7500.0
26839,7500.0
32279,3100.0
4438,2700.0
26824,3800.0
4899,10000.0
7290,1000.0
24139,5800.0
30945,4600.0
41391,2700.0
39480,2260.0
13876,4200.0
33771,3100.0
11688,4500.0
23361,2000.0
38412,6800.0
31024,15000.0
26831,3000.0
11830,2090.0
38311,2500.0
35530,3500.0
28891,11000.0
12449,3800.0
15843,4500.0
14187,3500.0
39817,3300.0
14605,3100.0
27003,3090.0
9296,1200.0
20996,6000.0
17001,8600.0
34188,4300.0
14748,3900.0
5066,8000.0
13438,2530.0
32779,4500.0
38749,4000.0
28142,2600.0
28349,5100.0
19540,2660.0
29547,4690.0
38529,5300.0
38510,13600.0
12331,4800.0
13930,8100.0
37105,3600.0
709,6500.0
18588,4900.0
23035,4400.0
12677,1390.0
1018,10000.0
39229,990.0
15377,3800.0
30331,1690.0
36446,1890.0
17685,7500.0
16627,2530.0
21249,3800.0
33712,2900.0
33243,7000.0
16159,15000.0
9547,3990.0
14565,4000.0
33944,20000.0
35313,4500.0
13239,2800.0
8313,2690.0
22989,4800.0
23333,9600.0
32217,1690.0
7460,2400.0
3836,9200.0
4947,3800.0
20568,2090.0
10164,2000.0
30656,3100.0
15182,3100.0
4182,3100.0
5371,3300.0
6718,3300.0
21613,1470.0
27726,6400.0
29652,4000.0
28717,7800.0
33583,5200.0
20673,3800.0
15571,5200.0
40406,2300.0
30710,2400.0
5084,3500.0
31983,6100.0
19002,8800.0
26087,2500.0
15344,1990.0
32130,4860.0
31476,4000.0
23610,3500.0
4961,850.0
22510,14800.0
25882,3500.0
11107,1560.0
34363,3500.0
19487,5600.0
5698,6200.0
32388,9500.0
14754,3600.0
18560,5200.0
25994,3600.0
15521,12000.0
29320,760.0
29699,6000.0
28160,3800.0
13902,1890.0
39346,3160.0
35747,5200.0
33464,3700.0
13041,4200.0
9061,2000.0
40348,1630.0
38040,10000.0
19192,2690.0
2124,3150.0
36789,4500.0
7281,1900.0
16164,6800.0
5198,2800.0
13772,3700.0
9171,1990.0
26379,1550.0
32030,1800.0
24944,8000.0
23647,4100.0
21009,1300.0
25152,3000.0
27744,51000.0
6335,5400.0
12061,3650.0
6982,6300.0
24602,4300.0
10518,4800.0
34824,3000.0
28000,2290.0
22599,4700.0
36230,2230.0
24325,3900.0
33776,8500.0
33028,4600.0
29170,2200.0
9840,1700.0
1883,3600.0
41112,1590.0
16908,2500.0
34605,5900.0
33746,3200.0
13116,3800.0
24900,6600.0
20064,11800.0
40940,2560.0
9413,4300.0
5878,3300.0
40086,1490.0
19520,3900.0
27085,1800.0
29436,3200.0
11458,3500.0
8733,2230.0
31431,6200.0
13574,3600.0
10340,5000.0
31882,3300.0
2730,10000.0
1118,4400.0
19502,3700.0
8689,1600.0
11880,2300.0
4323,8600.0
29566,7000.0
15147,3400.0
24642,2700.0
21759,3500.0
33188,4130.0
17254,4800.0
41304,14000.0
39124,2600.0
15269,6600.0
40261,3360.0
5314,2800.0
884,12000.0
12003,1760.0
5756,5200.0
17651,5800.0
10564,3200.0
7475,3000.0
15845,9300.0
8365,4000.0
8269,1550.0
19875,5500.0
20633,5000.0
31300,7400.0
17927,3350.0
467,5000.0
28356,1790.0
40329,1960.0
40266,3500.0
6472,3400.0
4539,3350.0
31767,3900.0
5097,2600.0
36913,6400.0
12577,6600.0
5523,4100.0
8161,5200.0
18694,1260.0
33893,3000.0
16825,1500.0
33063,4700.0
16402,7200.0
15476,9000.0
35804,4000.0
38256,5800.0
35208,6400.0
35625,1960.0
30060,4300.0
29008,10000.0
29232,2700.0
1663,3150.0
40394,12000.0
9874,7300.0
13056,2500.0
37393,1800.0
22023,5000.0
29781,6000.0
17594,6000.0
32355,6200.0
26989,10300.0
33347,3100.0
37274,5700.0
3848,4600.0
33453,4000.0
24360,3600.0
13290,4500.0
11397,5500.0
34280,4400.0
20581,3300.0
27789,6800.0
9713,4000.0
19314,4700.0
35990,6500.0
29804,6500.0
38854,2200.0
35807,3100.0
15709,4300.0
40432,1360.0
6078,2800.0
30414,5500.0
8385,3600.0
21647,3700.0
34453,3700.0
26129,4500.0
39300,1690.0
24789,4600.0
32144,4560.0
22856,2800.0
29346,3500.0
35191,3850.0
719,15000.0
12645,2600.0
39622,1190.0
39179,3700.0
9499,2200.0
24034,4400.0
12730,1590.0
40953,790.0
35599,7000.0
16800,3400.0
24254,1530.0
9642,1460.0
40521,1400.0
18349,1590.0
34985,7500.0
18145,4200.0
39133,1890.0
28714,7100.0
31660,2400.0
33393,3200.0
14616,2900.0
32024,4000.0
31030,5900.0
11997,6100.0
21997,7600.0
21102,8000.0
31120,4200.0
23631,1400.0
38437,2600.0
7270,2100.0
35490,2160.0
642,3000.0
10750,2930.0
17847,1553.0
32808,5300.0
11321,2500.0
11024,12000.0
14697,5200.0
22104,3500.0
35766,22000.0
2392,3000.0
19436,3600.0
15771,3200.0
20192,3100.0
33200,1830.0
18896,3800.0
29678,4000.0
33480,6500.0
24664,4190.0
40947,1730.0
33457,4000.0
25034,3800.0
9681,3800.0
33400,3250.0
19528,4300.0
36109,9000.0
26430,1360.0
24590,3900.0
14048,6000.0
12134,4000.0
35426,3900.0
6092,1700.0
3537,6000.0
37678,6000.0
6695,7600.0
25571,5500.0
3474,4800.0
23796,2600.0
32909,4800.0
703,4100.0
21296,1360.0
4558,3400.0
13640,8000.0
34708,4060.0
24333,4300.0
22244,4100.0
13505,6200.0
25720,5300.0
15125,4200.0
8414,1530.0
14509,4800.0
3009,2800.0
33988,4200.0
2544,7500.0
14553,3800.0
4677,6000.0
23106,3200.0
15355,2290.0
33970,3400.0
7452,2800.0
12101,50000.0
21476,9000.0
17999,8000.0
4237,2000.0
6244,3600.0
27905,4000.0
30515,5500.0
26048,4200.0
27508,4400.0
36960,2500.0
39655,3460.0
20681,4500.0
37449,8000.0
26260,5800.0
39761,1660.0
21699,2200.0
34393,1990.0
26791,2190.0
6855,16000.0
11523,3000.0
7279,3000.0
3866,5000.0
39036,2730.0
18262,7000.0
31179,3800.0
17475,2000.0
3441,7200.0
35009,5000.0
9153,2800.0
21043,2700.0
7786,7200.0
17142,8500.0
40627,2090.0
12544,3060.0
36822,3600.0
